uid,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24
1djs,val,train,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,val,train,val,train,train,train,val,train
1dp5,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,val,train,val,train,train,val,train,val,val
1dzb,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1e6e,train,val,train,val,train,train,val,train,val,train,val,val,train,train,train,val,train,train,val,train,train,val,train,train,train
1ees,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,val,val,val,train,val,train,val,train,val,train
1efn,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,val,val,train
1f3v,train,train,train,train,train,train,val,val,train,val,train,train,train,train,train,train,train,val,val,val,train,val,train,train,train
1f47,train,val,train,train,train,train,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,train,train,train
1fcc,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train,val,train,train,val,train
1g5j,train,train,train,train,train,train,val,val,train,val,train,train,train,val,val,train,val,train,train,train,train,train,train,val,train
1g6v,train,train,train,train,val,train,val,val,val,train,val,train,val,train,train,train,val,val,train,train,train,train,train,val,train
1gl0,train,val,val,val,train,train,train,val,val,train,val,train,val,train,train,train,val,val,train,train,train,train,train,train,train
1gla,train,train,train,train,train,train,train,train,train,val,val,val,train,train,val,val,train,val,train,val,train,train,val,val,train
1gng,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
1go4,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,val
1gua,val,train,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train
1gxd,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,val,val,train,train,train,train,train,val,val
1h0t,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
1h59,train,train,train,train,val,train,train,val,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train
1h9d,train,train,train,train,val,train,train,train,val,train,val,train,train,val,train,val,train,val,val,train,train,train,val,train,train
1he8,train,train,train,val,train,train,train,val,train,train,train,train,val,val,val,train,train,train,train,train,train,val,train,train,train
1hez,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,val,train
1i8l,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val
1iar,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train
1iqd,val,train,train,val,train,train,val,val,train,val,train,train,train,val,train,train,train,val,train,val,train,train,train,val,val
1j2j,val,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val
1j7d,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,val,train,train,val,train
1j7v,val,train,train,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,val,train,val,train,train,train
1jgn,train,train,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,val,train,train,train,val,train,train,train
1jh4,train,train,val,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,val,train,train
1jsp,train,train,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train
1k8r,train,train,val,train,train,train,train,val,val,train,train,train,train,train,train,val,train,val,train,train,val,train,val,train,val
1kbh,train,val,val,train,val,val,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train
1kne,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train
1ktz,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,train,train
1kxq,val,train,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train
1kxt,val,train,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train
1kxv,val,train,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train
1l4d,train,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train
1l4z,train,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train
1l8c,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,train
1lfd,val,train,train,train,train,train,val,train,train,train,val,train,val,train,train,val,train,train,train,train,train,train,train,val,train
1lp1,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
1lw6,train,val,train,val,val,train,val,val,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val
1lx5,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train
1lzw,train,train,train,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train
1m10,train,val,val,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val
1m5n,train,train,train,val,train,train,train,val,val,train,val,val,train,train,train,train,val,val,train,train,val,val,train,train,train
1m9e,val,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train,val,train,train,train,train,train
1mhp,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val
1mq8,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train
1mxe,train,train,train,train,train,train,train,val,val,train,val,train,val,train,train,val,train,train,train,train,train,val,train,train,train
1mzw,train,train,val,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train
1nca,val,train,train,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,val
1nf3,val,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train
1o9a,val,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,train,val,train,val,val
1oey,train,val,train,train,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,val,val,train
1ohz,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
1op9,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1oqe,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train
1otr,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train,train,val,val,val,train,train,train
1oyh,train,val,val,train,train,train,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,val,val,train,train
1ozs,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,val
1p1z,val,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train
1p27,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train
1p2c,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1p69,val,train,val,val,train,train,val,train,val,val,train,val,train,train,val,val,train,train,train,val,val,train,train,val,val
1p9d,train,val,train,train,val,train,train,val,train,train,train,train,train,val,val,train,val,val,train,train,val,train,train,val,train
1pd7,train,val,val,val,train,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,val,train,train
1pjm,train,val,val,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,val,train,train,val
1pjn,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,val,val,train,train,val,train,train,train,train
1pk1,val,train,train,train,train,train,val,train,train,train,val,val,train,train,train,val,train,val,train,train,train,train,train,val,train
1pvh,train,train,val,train,val,train,val,train,train,train,train,val,train,train,train,train,val,train,val,train,train,train,train,train,train
1q5w,val,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train
1q68,val,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train
1q69,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,val,val
1r6q,train,train,train,train,train,train,train,train,val,val,val,train,train,train,val,train,train,train,train,train,val,train,train,train,train
1r8u,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train
1ri8,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1rjc,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1rkc,val,train,val,val,train,val,val,val,train,train,train,train,train,train,train,val,val,train,train,train,val,val,val,val,val
1ry7,val,train,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,val,train,val,train,train,train,val,train
1s0w,val,train,train,train,val,train,train,val,val,val,train,val,val,train,train,val,val,train,train,train,val,train,val,train,train
1s4y,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train
1sb0,val,train,val,train,train,train,train,val,train,train,val,train,train,val,val,train,val,train,train,train,val,val,train,train,train
1shy,val,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,val,train,train
1shz,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train,val,train,train
1sq0,train,val,val,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val
1sv0,val,train,val,train,train,train,train,train,val,train,train,train,train,val,val,train,val,val,val,train,train,train,train,val,train
1sy6,train,val,val,train,val,train,val,train,val,train,train,train,train,train,val,train,val,val,train,train,train,train,train,train,train
1syq,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,val,val,train
1t01,train,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,val,val,train
1t0p,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train
1t44,val,train,train,val,val,train,train,val,train,train,train,train,train,val,val,val,train,train,train,train,val,train,train,train,train
1t5z,train,train,val,train,val,train,train,val,train,val,train,train,val,val,train,val,train,train,val,train,val,train,train,train,train
1t63,val,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train,val,train,train,train,train,train,val,train,train
1tba,train,train,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,val,train,val,val,train,val,train
1tdq,train,val,val,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,train
1tm1,train,val,train,val,val,train,val,val,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val
1ty4,train,train,train,val,val,train,train,val,train,train,val,train,train,train,train,train,val,train,val,train,train,val,train,train,train
1tzn,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train
1u0i,train,val,train,train,train,train,val,train,train,train,train,train,val,val,train,val,train,train,train,train,train,val,train,train,val
1u0s,train,train,train,train,train,val,train,train,train,train,val,train,val,train,train,train,val,train,val,train,train,train,val,train,train
1uad,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val,val,val,train
1uel,train,val,train,train,val,train,train,val,train,train,train,train,train,val,val,train,val,val,train,train,val,train,train,val,train
1ul1,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,val,train,train,train,train,train,train,train,train,train
1us7,train,train,train,val,val,train,train,train,train,train,val,val,train,val,train,val,train,train,train,train,train,train,train,train,train
1usu,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
1usv,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
1uuz,train,train,train,train,train,train,train,train,val,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train
1vet,train,train,train,val,train,train,train,train,train,train,train,val,val,train,train,train,val,val,train,val,val,val,train,train,train
1veu,train,train,train,val,train,train,train,train,train,train,train,val,val,train,train,train,val,val,train,val,val,val,train,train,train
1vyt,train,train,val,val,train,val,train,train,val,train,train,val,train,train,val,val,train,train,train,train,train,train,train,val,train
1wa7,val,train,train,val,val,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,val
1wa8,train,val,val,val,train,train,train,train,train,val,train,train,train,train,val,train,val,train,train,val,train,val,train,train,val
1wlp,train,val,train,train,train,train,val,train,train,val,train,train,val,val,train,train,train,train,train,train,train,val,train,val,val
1wqj,train,train,train,train,val,train,train,val,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train
1wr1,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
1wrd,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train
1x1u,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1x1w,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1x1x,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1x1y,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1xdt,train,train,val,train,val,train,val,train,train,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train
1xg2,val,train,train,train,val,train,val,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train
1xj7,val,val,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train
1xqs,train,train,val,train,train,train,train,val,val,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train
1xr0,train,train,train,val,train,train,train,train,val,val,train,val,train,train,train,train,train,train,val,train,val,val,train,val,train
1xxm,val,train,train,train,val,train,train,val,val,val,train,val,val,train,train,val,val,train,train,train,val,train,val,train,train
1y6k,val,train,train,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,val,train,val,train,train,train
1y6m,val,train,train,val,train,train,train,train,train,train,val,train,train,val,val,train,train,train,train,val,train,val,train,train,train
1y8n,train,train,train,train,val,train,train,train,val,train,train,train,val,train,val,train,train,val,train,train,val,val,val,train,train
1ycs,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val,train,train
1yd8,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train
1ydi,train,train,val,train,train,train,train,val,val,val,val,val,train,val,train,train,train,train,train,train,train,val,train,train,val
1yru,train,train,train,train,train,val,train,train,val,val,train,train,train,train,val,train,train,train,train,val,train,train,train,val,train
1yx6,train,val,train,train,val,train,train,val,train,train,train,train,train,val,val,train,val,val,train,train,val,train,train,val,train
1yy9,train,val,train,val,train,train,val,val,train,train,val,val,train,val,train,train,train,train,train,train,val,train,train,train,train
1yyl,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
1yym,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
1z0k,train,train,val,train,train,train,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train
1za3,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
1zc3,val,train,val,train,train,train,train,train,val,val,train,train,train,val,train,val,train,val,train,train,train,train,train,train,train
1zc4,val,train,val,train,train,train,train,train,val,val,train,train,train,val,train,val,train,val,train,train,train,train,train,train,train
1zgu,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train
1zhi,val,val,train,train,val,val,train,val,val,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train
1zmy,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1zsg,train,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,val,train,train,train,val,train,train,train,val
1zv5,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1zvh,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1zvy,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
2a24,train,val,val,train,val,train,val,train,train,val,val,train,train,train,train,train,val,train,train,val,train,val,val,train,train
2a6d,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2a6k,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2a78,train,train,val,train,train,train,train,train,train,val,train,val,val,train,val,train,train,train,train,train,train,train,train,train,train
2a7u,train,train,train,val,train,val,train,val,val,val,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train
2a9k,train,train,val,train,train,train,train,train,train,val,train,val,val,train,val,train,train,train,train,train,train,train,train,train,train
2abz,train,train,train,val,train,train,train,val,train,val,val,train,val,train,train,train,train,train,train,train,val,val,train,train,train
2ajf,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,val,train,val,val,val,train,val,train,train,train
2aq1,train,val,train,val,train,train,train,train,val,train,train,train,val,train,val,val,train,val,val,val,train,train,val,train,train
2aq2,train,val,train,val,train,train,train,train,val,train,train,train,val,train,val,val,train,val,val,val,train,train,val,train,train
2arp,train,val,train,val,train,val,val,train,train,val,train,val,val,train,train,train,val,train,train,train,train,train,val,train,train
2aw2,train,train,train,train,val,train,val,train,train,train,train,val,train,val,val,train,val,train,train,train,train,train,train,train,train
2b0z,train,val,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train
2b10,train,val,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train
2b11,train,val,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train
2b12,train,val,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train
2b42,val,train,val,train,train,val,val,val,train,val,train,val,train,train,train,val,train,train,train,train,val,val,val,train,train
2b7c,val,train,train,train,val,train,val,val,train,train,train,train,train,train,train,val,train,val,train,val,train,val,train,train,train
2bdn,val,train,train,val,val,train,train,train,train,val,val,train,train,val,train,train,train,val,train,train,train,train,train,val,train
2be6,train,train,train,val,train,train,val,train,train,train,val,train,train,val,train,train,train,val,train,train,train,train,val,train,train
2btf,train,train,val,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train,train,val,val,val,train,train,train
2byk,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val
2bym,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,val,train,val
2c0l,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,val,train,train
2c1m,train,train,val,val,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
2c7m,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train
2c7n,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train
2ccl,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train
2cpk,train,train,val,train,train,train,train,train,train,train,train,train,val,train,val,train,val,train,train,train,train,train,train,train,train
2d10,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,train,val,train,val,train,train,val
2den,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2djy,train,val,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,val
2dsp,train,train,train,train,val,train,train,val,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train
2dvw,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,val,train
2dx5,train,val,val,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val
2efd,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train
2efh,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train
2f31,val,train,val,val,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,val,val,train,train,val,train
2f4m,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train
2f9z,train,val,train,val,val,val,train,train,train,val,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train
2fdb,val,train,train,train,train,train,train,train,train,train,train,train,val,val,train,train,train,val,train,val,train,train,train,val,train
2fjh,val,train,train,val,train,train,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,train,val
2fju,train,train,train,train,train,val,val,train,train,train,val,val,train,train,train,train,train,val,train,val,train,train,train,train,val
2fyl,train,train,train,train,train,train,val,train,train,train,val,train,val,val,train,val,train,train,train,train,val,train,train,val,train
2g45,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,val,train,val,train,train,val,val,train,train,train
2gox,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train
2gww,train,train,train,train,train,train,train,val,train,val,val,train,train,train,train,train,train,val,train,train,train,train,train,train,val
2gyk,train,train,val,train,train,train,train,train,train,train,train,train,val,train,train,val,val,val,train,train,val,train,train,val,train
2h4m,train,train,train,val,val,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,val,val,train,train,train
2h9g,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2hle,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,val,val,train,train,train,train,train,val
2hqs,train,train,train,train,val,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val,train,val,val
2hrk,train,train,val,train,val,val,train,train,val,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val
2hth,train,val,val,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val
2i25,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
2i26,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
2i32,val,train,train,train,train,val,train,train,train,train,train,train,train,train,val,val,train,val,train,val,val,val,val,val,train
2i3s,train,val,val,train,train,train,val,val,val,train,val,train,train,val,train,train,train,train,train,train,val,train,val,train,train
2i3t,train,val,val,train,train,train,val,val,val,train,val,train,train,val,train,train,train,train,train,train,val,train,val,train,train
2i5y,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
2i60,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,val,train,val,train,train,train,train,train,train,train
2i9b,train,train,train,train,train,val,train,train,val,val,train,train,train,train,train,train,val,train,val,train,train,val,train,train,val
2ihs,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,val,train,val,val,train,train,train,train
2ixq,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train
2iy1,train,train,train,train,train,train,train,val,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,train
2iyb,val,train,train,train,train,train,val,train,train,train,val,train,val,train,train,val,val,train,train,train,val,train,train,train,train
2j0t,val,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,val,val,train,train,train,train,train,val,val
2j12,val,train,val,val,train,train,val,train,val,val,train,val,train,train,val,val,train,train,train,val,val,train,train,val,val
2j1k,train,train,train,val,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,train,train,val,train
2j59,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train
2jel,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,val,train
2jix,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,val,train,val,train
2jjt,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
2jki,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train
2jod,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val
2jt4,train,train,train,train,train,train,train,train,train,val,val,train,train,val,train,train,val,train,train,train,val,val,train,val,train
2ju0,train,train,train,val,train,train,val,train,train,train,val,train,val,train,train,train,train,train,train,train,val,val,train,train,train
2jy6,train,val,train,train,val,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
2k2s,train,train,val,train,val,val,val,train,train,train,train,train,val,train,val,train,train,train,train,val,val,val,train,val,train
2k2u,train,train,train,val,val,val,train,train,train,train,train,train,train,val,train,val,val,val,train,train,train,train,train,val,train
2k3s,val,train,train,train,train,val,val,val,train,train,train,val,train,train,train,train,val,val,train,train,train,train,val,val,train
2k3u,train,train,val,train,train,train,train,train,val,train,train,train,val,val,train,val,train,train,train,train,val,train,val,train,train
